size,node
29.897435897435898,360
29.897435897435898,375
29.897435897435898,275 280
20.05128205128205,2017
19.846153846153847,Central Region
19.846153846153847,Greater Accra Region
19.846153846153847,200
19.846153846153847,2018 Budget
19.846153846153847,265
19.846153846153847,260
19.846153846153847,Institutions Number of Management letters
19.025641025641026,2019 BUDGET ESTIMATES
14.923076923076923,Western Region
13.282051282051283,National Development Planning Commission
13.076923076923077,Institutions Number of Management letters issued
12.666666666666668,Sub-Programme
12.666666666666668,GH Cedi
12.461538461538462,2021
11.846153846153847,Use of goods and services
11.846153846153847,MMDAs
11.641025641025642,"4,198,490"
11.641025641025642,Budget by Chart of Account
11.230769230769232,2020
11.230769230769232,Operations
11.230769230769232,2022
11.230769230769232,2019 BUDGET
11.230769230769232,Programme
11.025641025641026,Administration
11.025641025641026,Natural Account
11.025641025641026,All Source of Funding
11.025641025641026,Version 1
11.025641025641026,MDAs
11.025641025641026,Management
11.025641025641026,"2,030,261"
10.820512820512821,projections
10.820512820512821,National Plan Preparation
10.820512820512821,Projects
10.820512820512821,2022 Target Actual
10.615384615384617,"4,307,201"
10.615384615384617,"7,312,555"
10.615384615384617,National Monitoring and Evaluation
10.615384615384617,indicators
10.615384615384617,past data
10.41025641025641,2017 2018 Budget
10.41025641025641,"2,829,065"
10.41025641025641,Budget Sub-Programme Description
10.41025641025641,Budget Sub-Programme Results Statement
10.41025641025641,1992 Constitution
10.41025641025641,future performance
10.205128205128206,7
10.205128205128206,1
10.0,"184,000"
50.0,letters
23.53846153846154,2019
19.846153846153847,letters issued 275 280
19.846153846153847,letters issued 275 280 360 360 375 375
12.256410256410257,GFS
11.641025641025642,Chart of Account
11.435897435897436,sub-programme
11.435897435897436,Currency
11.435897435897436,Entity
11.230769230769232,"324,000"
11.025641025641026,Funding
10.820512820512821,Budget Sub-Programme
10.615384615384617,"4,198"
10.41025641025641,"2,030"
10.41025641025641,1992
10.41025641025641,Sub-Programme Description
10.41025641025641,"2,829"
