size,node
41.724137931034484,SDGs
31.03448275862069,J U N E
24.82758620689655,2
22.413793103448278,2018
21.379310344827587,Vientiane
21.03448275862069,2017
20.689655172413794,Kenya
20.344827586206897,0
20.0,2 0 2 0
19.655172413793103,regional
19.655172413793103,China
18.96551724137931,women
18.275862068965516,tourism
18.275862068965516,infrastructure
18.275862068965516,Targets and Indicators
17.93103448275862,Laos
17.586206896551722,sectors
17.586206896551722,2019
17.241379310344826,New project
16.896551724137932,production
16.896551724137932,technology
16.20689655172414,Indicators
16.20689655172414,rural
15.862068965517242,central
15.517241379310345,services
15.517241379310345,legislation
15.172413793103448,local
15.172413793103448,Activit
15.172413793103448,sustainable
15.172413793103448,public
14.827586206896552,education
14.827586206896552,2016
14.827586206896552,Lao
14.827586206896552,Priorit y Activit ies
14.482758620689655,trade
14.482758620689655,international
14.482758620689655,SDG
14.482758620689655,health
14.137931034482758,provinces
14.137931034482758,regulations
14.137931034482758,science
14.137931034482758,research
13.793103448275861,PDR
13.793103448275861,3
13.793103448275861,urban
13.448275862068964,children
13.448275862068964,rural areas
13.448275862068964,forest
13.448275862068964,revenue
13.448275862068964,Kenya Vision 2030
13.448275862068964,administration
13.10344827586207,2020
13.10344827586207,development
13.10344827586207,innovation
12.758620689655173,DEVELOPMENT
12.758620689655173,vocational
12.758620689655173,sustainable development
12.758620689655173,teaching
12.758620689655173,private sector
12.758620689655173,1.2
12.758620689655173,economic growth
12.413793103448276,economic development
12.413793103448276,law
12.413793103448276,social security
12.413793103448276,1.1
12.413793103448276,localities
12.413793103448276,public sector
12.413793103448276,provincial
12.413793103448276,goods
12.413793103448276,forestry
12.068965517241379,international integration
12.068965517241379,projects
12.068965517241379,budgeting
12.068965517241379,districts
12.068965517241379,natural resources
12.068965517241379,implementation
12.068965517241379,district
11.724137931034482,drought
11.724137931034482,males
11.724137931034482,hygiene
11.724137931034482,United Nations
11.724137931034482,Vision 2030
11.724137931034482,cities
11.724137931034482,vocational education
11.724137931034482,financial
11.724137931034482,men
11.724137931034482,females
11.724137931034482,poor
11.724137931034482,budget
11.379310344827585,girls
11.379310344827585,programmes
11.379310344827585,planning
11.379310344827585,Output 1
11.379310344827585,urban areas
11.379310344827585,1
11.379310344827585,Priorit y Activit
11.03448275862069,monetary
11.03448275862069,private sectors
11.03448275862069,remote areas
11.03448275862069,project
11.03448275862069,ECONOMIC
11.03448275862069,agriculture
11.03448275862069,II.
11.03448275862069,2014
11.03448275862069,Busia
11.03448275862069,2017/18
11.03448275862069,Marsabit
11.03448275862069,8
11.03448275862069,secondary school
11.03448275862069,boys
11.03448275862069,rule of law
11.03448275862069,flood
10.689655172413794,social protection
10.689655172413794,semi-arid
10.689655172413794,rich
10.689655172413794,scientific
10.689655172413794,green
10.689655172413794,public governance
10.689655172413794,NATIONAL REVIEW REPORT
10.689655172413794,learning
10.689655172413794,4.2
10.689655172413794,2012
10.689655172413794,towns
10.689655172413794,2018/19
10.344827586206897,industry
10.344827586206897,counties
10.344827586206897,natural resource
10.344827586206897,environment
18.96551724137931,2030
13.448275862068964,Capital
12.413793103448276,4
11.03448275862069,II
11.03448275862069,arid
10.689655172413794,VOLUNTARY NATIONAL REVIEW
